"","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","elev"
"1",26.3163833618164,7.19138240814209,71.2499008178711,69.5240097045898,31.830114364624,21.7369327545166,10.0931816101074,26.1000938415527,26.9169502258301,27.352746963501,25.5641098022461,1739,345,5,87.7414779663086,882,33,210,193,116
"2",25.7555408477783,7.61979150772095,71.5120849609375,72.1904220581055,31.6270008087158,20.9717502593994,10.6552505493164,25.5584163665771,26.3501663208008,26.8037490844727,24.9457092285156,1978,328,6,71.1148071289062,873,55,224,338,221
"3",26.2099056243896,7.75318717956543,73.5945663452148,74.7207870483398,31.7612495422363,21.2262496948242,10.5349998474121,26.4062080383301,26.6720008850098,27.1817092895508,25.2783737182617,2607,361,43,53.898193359375,1030,163,282,629,38
"4",26.5174446105957,8.29409217834473,72.652946472168,73.0165176391602,32.7977600097656,21.3817157745361,11.4160442352295,26.1618156433105,26.5970764160156,27.6130599975586,25.7875003814697,1658,340,1,94.2659454345703,868,9,223,129,144
"5",25.8305511474609,8.52106285095215,72.6061935424805,74.7790756225586,32.3479995727539,20.6119995117188,11.7360000610352,25.4981250762939,25.8785839080811,26.9376258850098,25.0477924346924,1749,331,2,87.8164978027344,865,17,240,165,259
"6",22.9107913970947,8.18895816802979,74.8208847045898,69.7834396362305,28.7059993743896,17.7612495422363,10.9447498321533,22.8635425567627,23.3143749237061,23.8044166564941,22.0557079315186,2694,366,39,50.6703605651855,1013,180,296,675,683
"7",25.0520629882812,8.13004112243652,75.2085266113281,68.0765686035156,30.7707500457764,19.960750579834,10.8099994659424,24.9347076416016,25.5185832977295,25.9481658935547,24.2249584197998,3039,356,42,44.3813133239746,1024,251,309,873,306
"8",26.4126033782959,8.3569164276123,74.58203125,72.7339782714844,32.3702507019043,21.1652507781982,11.2049999237061,26.6147079467773,26.9402503967285,27.3782081604004,25.5254173278809,2755,356,49,51.6794090270996,1052,191,297,662,45
"9",26.2483329772949,8.27412509918213,74.2923583984375,73.893310546875,32.2122497558594,21.0750007629395,11.1372489929199,26.4207077026367,26.7822074890137,27.2451248168945,25.3527088165283,2812,380,51,52.0380401611328,1083,194,305,692,44
"10",26.076229095459,8.23324966430664,74.2553558349609,75.3196868896484,32.0260009765625,20.9382495880127,11.0877513885498,26.2216262817383,26.5977096557617,27.0988330841064,25.1661243438721,2882,382,64,48.9648513793945,1077,220,331,736,53
"11",24.5684795379639,9.25845813751221,73.8181610107422,74.7832260131836,31.4825000762939,18.9402503967285,12.5422496795654,24.2558746337891,24.6107501983643,25.6469173431396,23.7654991149902,1909,357,8,85.283935546875,946,30,269,185,469
"12",22.9952392578125,8.73706245422363,75.5703201293945,69.2018127441406,29.2072505950928,17.6457500457764,11.5615005493164,22.8642501831055,23.4925842285156,23.9220008850098,22.1734161376953,2516,372,32,57.7350921630859,1024,149,314,504,672
"13",22.662281036377,8.57943725585938,75.8755340576172,69.8643417358398,28.6867504119873,17.3794994354248,11.3072509765625,22.5492916107178,23.1294174194336,23.5757083892822,21.8230419158936,3067,382,56,46.6819763183594,1115,237,343,793,715
"14",25.5065422058105,8.73779201507568,75.8752288818359,72.2021484375,31.6720008850098,20.1560001373291,11.5160007476807,25.6869583129883,26.0976257324219,26.4919166564941,24.6607913970947,3099,371,60,45.5400123596191,1094,251,341,814,217
"15",25.8793964385986,8.24187564849854,75.8030319213867,72.2361679077148,31.6767501831055,20.8039989471436,10.8727512359619,26.0200424194336,26.4254589080811,26.8756675720215,25.031665802002,3174,423,74,45.796272277832,1180,268,418,813,77
"16",25.6704578399658,7.78791666030884,76.4720764160156,69.489875793457,30.9694995880127,20.7854995727539,10.1840000152588,25.8342914581299,26.1515827178955,26.6030406951904,24.836332321167,3342,458,92,42.7658386230469,1229,330,468,868,97
"17",25.629114151001,7.46285438537598,76.7428131103516,67.9368896484375,30.6604995727539,20.9360008239746,9.7244987487793,25.7084178924561,26.1340007781982,26.5717926025391,24.8268337249756,3581,489,110,39.6256294250488,1261,403,517,1008,72
"18",27.0001564025879,9.65597534179688,72.7147827148438,85.9707489013672,34.4198112487793,21.1405658721924,13.2792453765869,26.4028301239014,27.326416015625,28.260534286499,26.12672996521,1689,350,1,97.5133666992188,898,6,245,455,104
"19",27.4818725585938,10.2276611328125,72.7567901611328,89.6881332397461,35.3683242797852,21.3109951019287,14.0573291778564,26.8317623138428,27.8797988891602,28.7782726287842,26.558464050293,1736,340,2,90.8875732421875,888,11,244,484,63
"20",26.9317398071289,10.2453956604004,73.9819869995117,82.7309265136719,34.6677513122559,20.8192501068115,13.8485012054443,26.3897094726562,27.2497501373291,28.1170425415039,26.0449161529541,1849,353,4,88.231689453125,927,20,277,475,143
"21",26.4228229522705,10.0611457824707,74.5629043579102,78.9902038574219,33.9432487487793,20.4497489929199,13.4934997558594,25.9679164886475,26.6825828552246,27.5461654663086,25.5540008544922,1917,353,10,84.6799545288086,935,34,295,492,191
"22",23.1571464538574,8.80616664886475,76.7338409423828,68.2285232543945,29.2779998779297,17.8017501831055,11.4762496948242,23.0064163208008,23.6689586639404,24.0625839233398,22.3478336334229,3222,382,63,43.3687286376953,1139,280,378,858,610
"23",24.6450614929199,8.84187507629395,76.8892135620117,70.7932281494141,30.8137493133545,19.3142490386963,11.4995002746582,24.6684989929199,25.2491245269775,25.6209163665771,23.8391246795654,3321,413,78,44.2603721618652,1183,293,395,857,343
"24",25.5922393798828,8.89660453796387,76.5282821655273,74.666633605957,31.857250213623,20.2320003509521,11.6252498626709,25.5693321228027,26.2552490234375,26.6449584960938,24.7595405578613,3246,434,85,46.6105003356934,1203,283,411,790,161
"25",25.9913120269775,8.74270820617676,76.0599365234375,76.4782943725586,32.1977500915527,20.7032508850098,11.494499206543,26.1128749847412,26.6674156188965,27.0757083892822,25.1418342590332,3314,436,82,44.1035461425781,1192,293,440,881,85
"26",25.880989074707,8.46147918701172,76.6264877319336,74.0834884643555,31.7465000152588,20.7040004730225,11.0424995422363,26.013708114624,26.5089988708496,26.9217910766602,25.0405426025391,3420,454,94,41.5039520263672,1217,339,487,920,92
"27",25.8190937042236,8.09947967529297,76.6506118774414,71.9023666381836,31.3700008392334,20.8032493591309,10.5667514801025,25.933292388916,26.4186248779297,26.8322505950928,25.0010833740234,3617,483,115,39.5884246826172,1265,396,535,1009,66
"28",25.9056968688965,8.08993816375732,77.2327499389648,71.4472351074219,31.3907508850098,20.9160003662109,10.4747505187988,25.9968757629395,26.5045833587646,26.9207916259766,25.0900840759277,3642,481,115,38.0054397583008,1260,424,557,1041,37
"29",26.0120010375977,7.79979181289673,76.2442932128906,75.6128082275391,31.3770008087158,21.1469993591309,10.230001449585,26.1396675109863,26.6550006866455,27.0798759460449,25.1625423431396,3681,488,116,37.5043029785156,1260,449,562,1089,42
